journal,is_ling,x1_includes_pre_study_peer_review,x2_offers_provisional_pre_study_acceptance,x3_permanence_of_adoption,x4_offered_for_novel_studies,x5_offered_for_replication_studies,x6_offered_for_meta_analysis,x7_offered_for_analyses_of_existing_data_sets,x8_publishes_registered_reports_only,x9_allows_reporting_of_unregistered_analyses,x10_includes_post_study_peer_review,x11_allows_inclusion_of_unregistered_pilot_studies,x12_requires_public_data_deposition,x13_specifies_structured_criteria_for_editorial_decisions,x14_requires_submitted_protocols_to_have_prior_ethical_approval,x15_specifies_minimum_statistical_power_requirements,x16_will_publish_withdrawn_registrations,x17_publishes_accepted_protocols_in_full_or_part_prior_to_study_completion,x18_offers_incremental_sequential_registration,x19_offers_incremental_addition_of_unregistered_studies,x20_offered_for_qualitative_research,x21_requires_deposition_of_protocol_in_public_registry_following_stage_1_acceptance
Journal of Memory and Language,1,1,1,Special issue only,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Neuropsychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
Journal of Neuroscience Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1 (in full),1,NA,NA,1
Journal of Numerical Cognition,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1
Journal of Occupational and Organizational Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
Journal of Participatory Medicine,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
Journal of Personality,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
Journal of Personality and Social Psychology,0,1,1,Indefinite,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Personnel Psychology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Physiotherapy Research,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Plant Nutrition and Soil Science,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1
Journal of Psychiatric and Mental Health Nursing,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA
Journal of Research in Personality,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
Journal of Research in Reading,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
"Journal of Speech, Language, and Hearing Research",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Sports Sciences,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of the American Academy of Child and Adolescent Psychiatry,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA
Judgment and Decision Making,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laboratory Phonology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Language and Cognition,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Language and Speech,1,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Language Learning,1,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,1,1
"Laterality: Asymmetries of Body, Brain, and Cognition",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Law and Human Behavior,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Learning and Instruction,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
Legal and Criminological Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
Legislative Studies Quarterly,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Lifestyle Medicine,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1
Linguistics,1,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Management and Organization Review,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Media Psychology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medicine 2.0,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
Memory,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Meta-psychology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"Mind, Brain and Education",0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
MNI Open Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
Music Perception,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Nature,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nature Communications,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
Nature Human Behaviour,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
NC3RS Gateway,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
Neurobiology of Language,1,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
NeuroImage Reports,0,1,1,Indefinite,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,NA,NA,1
Neuropsychopharmacology Reports,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Neuroscience of Consciousness,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
NFS Journal,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Nicotine & Tobacco Research,0,1,1,Indefinite,NA,1 Solicited topics only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nursing Reports,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Open Psychology,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Open Research Europe,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
Oxford Open Economics,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1
Paediatric and Neonatal Pain,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1
PCI Ecology,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
PCI Registered Reports,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeerJ Analytical Chemistry,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeerJ Computer Science,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeerJ Inorganic Chemistry,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeerJ Life & Environment,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeerJ Materials Science ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeerJ Organic Chemistry,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perception,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Personality Science,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1
Plant Direct,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA
PLOS Biology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1
PLOS ONE,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA
PNAS Nexus,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1
Politics and the Life Sciences,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psicológica,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Psychological Assessment,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychological Science,0,1,1,Indefinite,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Psychological Test Adaptation and Development,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Psychology and Marketing,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,1
"Psychology and Psychotherapy: Theory, Research and Practice",0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
Psychology & Health,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,NA,1,1,NA,1,NA,NA,1
Psychology of Addictive Behaviors,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Psychology of Sport and Exercise,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
Psychology & Sexuality,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychonomic Bulletin & Review,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psycho-Oncology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Psychophysiology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Q Open,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Quality of Life Research,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Quarterly Journal of Experimental Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Research & Politics,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Royal Society Open Science,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1
Second Language Research,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science and Medicine in Football,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Scientific Reports,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Scientific Studies of Reading,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Social Influence,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Social Psychological Bulletin,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Stress and Health,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Studia Psychologica,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Swiss Psychology Open,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Technology, Mind, and Behavior",0,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
The International Journal for the Psychology of Religion,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
The Journal of Sex Research ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Leadership Quarterly,0,1,1,Indefinite,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
The Review of Corporate Finance Studies,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Wellcome Open Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"Work, Aging and Retirement",0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zeitschrift für Bildungsforschung,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adaptive Behaviour and Human Physiology,0,1,1,Special issue,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1
AERA Open,0,1,1,Special issue,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
American Journal of Political Science,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Political Science Review,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Politics Research,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Child Development,0,1,1,Special issue only (x2),1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,1
Comparative Political Studies,0,1,1,Special issue only,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA
Computer Science Education,0,1,1,Special issue only,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
eLife,0,1,1,Special Issue RP:CB only,NA,1,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA
European Journal of Social Psychology,0,1,1,Indefinite,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
Experimental Economics,0,1,1,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Frontiers in Psychology | Cognition,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Accounting Research,0,1,1,Special issue only,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Business and Psychology,0,1,1,12-month initial trial,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Journal of Business Ethics,0,1,1,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Computer Assisted Learning,0,1,1,Special issue only,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Journal of Economic Psychology,0,1,1,Special issue only,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1
Journal of Memory and Language,1,1,1,Special issue only,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Learning Disabilities Quarterly,0,1,1,Special issue only,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Media and Communication,0,1,1,Special issue only,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA
NeuroImage,0,1,1,Special Issue only (2 year pilot),1,1,1,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,1
Pacific-Basin Finance Journal,0,1,1,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
PeerJ,0,1,1,Special issue only,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Personal Relationships,0,1,1,Special issue,1,1,TBA,TBA,TBA,TBA,1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Perspectives on Psychological Science,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLOS ONE,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA
Political Analysis,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Political Behavior,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Political Science Quarterly,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Political Science Research and Methods,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Politics and the Life Sciences,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Opinion Quarterly,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Social Psychology,0,TBA,TBA,Indefinite,1,1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
State Politics and Policy Quarterly,0,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Review of Financial Studies,0,1,1,Special issue,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Zeitschrift für Psychologie,0,1,1,Special issue,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Communication Methods and Measures,0,NA,NA,Special Issue only,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Experimental Psychology: General,0,1,NA,Indefinite,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
