...1,Return to the Registered Reports page at the COS,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22
JMIR Rehabilitation and Assistive Technologies,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Serious Games,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
Journal for Reproducibility in Neuroscience,✓,✓,Indefinite - Submission via PCI Registered Reports,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,✓,NA,NA,✓
Journal of Accounting Research,✓,✓,Special issue only,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Advanced Academics,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Journal of Business and Psychology,✓,✓,12-month initial trial,✓,NA,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,✓,NA,NA
Journal of Business Ethics,✓,✓,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Child Language,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,✓,✓,NA,✓,NA,NA,NA,NA,✓
Journal of Child Psychology and Psychiatry (JCPP) Advances,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Clinical Medicine,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,NA,✓,✓,NA,NA,NA
Journal of Clinical Nursing,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,NA,NA,NA,✓,NA,NA,✓
Journal of Cognition,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Journal of Cognition and Development,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Journal of Cognitive Enhancement,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,NA,NA
Journal of Cognitive Neuroscience,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,✓,NA,NA,NA,NA,NA,NA,✓
Journal of Cognitive Psychology,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Computer Assisted Learning,✓,✓,Special issue only,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Journal of Development Economics,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,✓
Journal of Economic Psychology,✓,✓,Special issue only,NA,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,✓
Journal of Educational Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,✓
Journal of European Psychology Students,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,NA
Journal of Evidence-Based Healthcare,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Experimental Political Science,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,✓
"Journal of Experimental Psychology: Learning, Memory and Cognition",✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Experimental Social Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Journal of Illusion,✓,✓,Indefinite,✓,✓,NA,NA,NA,NA,✓,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,✓
Journal of Integrated Security and Safety Science,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Media Psychology,✓,✓,Indefinite,✓,✓,✓,NA,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,✓,NA,NA
Journal of Medical Internet Research (JMIR),✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
Journal of Memory and Language,✓,✓,Special issue only,NA,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Neuropsychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
Journal of Neuroscience Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,✓ (in full),✓,NA,NA,✓
Journal of Numerical Cognition,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,✓,NA,NA,✓
Journal of Occupational and Organizational Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
Journal of Participatory Medicine,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
Journal of Personality,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
Journal of Personality and Social Psychology,✓,✓,Indefinite,NA,✓,NA,NA,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Personnel Psychology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Physiotherapy Research,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Plant Nutrition and Soil Science,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,NA,NA,NA,✓
Journal of Psychiatric and Mental Health Nursing,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓,NA,NA,✓,NA
Journal of Research in Personality,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Journal of Research in Reading,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,✓
Journal of Surgery and Clinical Reports,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of the American Academy of Child and Adolescent Psychiatry,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,✓,NA,✓,✓,NA,NA,NA,NA
Judgement and Decision Making,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓ (at editorial discretion),✓,✓,NA,NA,NA,NA,NA,NA,✓,NA,✓
Laboratory Phonoloy,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Language and Speech,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Language Learning,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,✓,NA,✓,✓
"Laterality: Asymmetries of brain, behaviour, and cognition",✓,✓,Indefinite,✓,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Law and Human Behavior,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Learning and Instruction,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Learning Disabilities Quarterly,✓,✓,Special issue only,✓,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
Legal and Criminological Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
Legislative Studies Quarterly,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA
Lifestyle Medicine,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,✓
Linguistics,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Management and Organization Review,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,✓,✓
Media and Communication,✓,✓,Special issue only,✓,✓,✓,NA,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,✓,NA,NA
Medicine 2.0,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
Memory,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Meta-psychology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
"Mind, Brain and Education",✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
MNI Open Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
Music Perception,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
NC3RS Gateway,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
Nature Communications,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,✓
Nature Human Behaviour,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Negotiation and Conflict Management Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Neurobiology of Language,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
NeuroImage,✓,✓,Special Issue only (2 year pilot),✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,✓,NA,✓,NA,✓,NA,NA,✓
NeuroImage Reports,✓,✓,Indefinite,✓,✓,✓,✓,NA,NA,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Neuropsychopharmacology Reports,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
Neuroscience of Consciousness,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Nicotine & Tobacco Research,✓,✓,Indefinite,NA,✓ Solicited topics only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NFS Journal,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Nursing Reports,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Oxford Open Economics,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,NA,✓
Open Psychology,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Open Research Europe,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
Pacific-Basin Finance Journal,✓,✓,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Paediatric and Neonatal Pain,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,NA,✓
PCI Ecology,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
"Peer Community in Registered Reports

 https://rr.peercommunityin.org/",✓,✓,Indefinite,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓,✓ (optional for authors),✓,NA,✓,✓
PeerJ,✓,✓,Special issue only,NA,✓,NA,NA,NA,NA,✓,NA,NA,NA,NA,NA,NA,✓,NA,NA,NA,NA
Perception,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
Personal Relationships,✓,✓,Special issue,✓,✓,TBA,TBA,TBA,TBA,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Personality Science,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,✓
Plant Direct,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,NA,✓,✓,✓,✓,NA,NA,NA
PLOS Biology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,NA,NA,✓,NA,NA,✓
PLOS ONE,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,NA,✓,NA,NA,✓,NA
PNAS Nexus,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,NA,✓
Political Analysis,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Political Behavior,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Political Science Quarterly,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Political Science Research and Methods,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Politics and the Life Science,✓,✓,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Psicológica,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Psychology and Marketing,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,NA,NA,NA,✓,NA,NA,✓
Psychology and Sexuality,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Psychology of Addictive Behaviors,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Psychology of Sport and Exercise,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Psychonomic Bulletin and Review,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Psychological Science,✓,✓,Indefinite,NA,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
Psychological Test Adaptation and Development,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Psychology & Health,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,NA,✓,✓,NA,✓,NA,NA,✓
"Psychology and Psychotherapy: Theory, Research and Practice",✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
Psycho-Oncology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
Psychophysiology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
Public Opinion Quarterly,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q Open,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Quality of Life Research,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Quarterly Journal of Experimental Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Registered Reports in Kinesiology,✓,✓,Indefinite,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Registered Reports in Psychology,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Research & Politics,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Royal Society Open Science,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,✓,NA,NA,✓
Science and Medicine in Football,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Scientific Reports,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Scientific Studies of Reading,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Social Psychology,TBA,TBA,Indefinite,✓,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Social Influence,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Social Psychological Bulletin,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Spanish Journal of Psychology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,NA,NA,✓,✓,NA,✓,NA,NA,NA,NA,✓
State Politics and Policy Quarterly,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stress & Health,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,NA,NA,✓,✓,NA,NA,NA,NA,NA,NA,✓
Studia Psychologica,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
"Technology, Mind, and Behavior",✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
The International Journal for the Psychology of Religion,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
The Leadership Quarterly,✓,✓,Indefinite,✓,✓,NA,NA,NA,NA,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA
The Review of Corporate Finance Studies,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
The Review of Financial Studies,✓,✓,Special issue,✓,✓,NA,✓,NA,NA,✓,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA
Wellcome Open Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
"Work, Aging and Retirement",✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zeitschrift für Psychologie,✓,✓,Special issue,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
NA,JOURNALS OFFERING FORMATS THAT DO NOT QUALIFY AS REGISTERED REPORTS BUT WHICH PROVIDE SOME FEATURES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Communication Methods and Measures,NA,NA,Special Issue only,NA,✓,NA,NA,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Experimental Psychology: General,✓,NA,Indefinite,NA,✓,NA,NA,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DEFINITIONS OF FEATURES (Note that Criteria 1 and 2 are the minimal necessary conditions to qualify as a Registered Report): 
1. Includes pre-study peer review: Whether the journal will subject the pre-study proposal to peer review. A pre-study proposal is one evaluated prior to anyone observing study outcomes – usually prior to data collection. 
2. Offers provisional pre-study acceptance: Whether the journal offers ‘in principle acceptance’ of proposals, guaranteeing to publish the study regardless of the outcome of the registered hypothesis tests. (Note: satisfying this condition does not require unconditional acceptance).
3. Permanence of adoption: Whether the journal is offering RRs indefinitely or instead for a trial period or as part of a special issue.
4. Offered for novel studies: Whether the journal is offering RRs for original studies.
5. Offered for replication studies: Whether the journal offering RRs for studies seeking to specifically replicate previous research.        
6. Offered for meta-analysis: Whether the journal will consider RRs that propose meta-analyses.
7. Offered for analyses of existing data sets: Whether the journal will consider RRs for analysis of data that already exists.
8. Publishes Registered Reports only: Whether the journal is dedicated solely to publishing Registered Reports.
9. Allows reporting of unregistered analyses: Whether the RR format allows authors to report unregistered exploratory analyses in the final results (appropriately identified).
10. Includes post-study peer review: Whether the journal offers peer review of the completed paper following data collection and analysis.
11. Allows inclusion of unregistered pilot studies: Whether the journal allows authors to include the outcomes of completed pilot experiments within pre-study proposals.
12. Requires public data deposition: Whether the journal requires authors to publish all relevant data collected as part of the research within a freely accessible repository.
13. Specifies structured criteria for editorial decisions: Whether the journal specifies the criteria according to which manuscripts will be accepted or rejected at all stages.
14. Requires submitted protocols to have prior ethical approval: Whether the journal requires authors to have obtained formal ethical approval to conduct the proposed research prior to submission of the pre-study protocol.
15. Specifies minimum statistical power requirements: Whether the journal guidelines state a minimum threshold for statistical power of pre-registered statistical tests or alternate (e.g. Bayesian) criteria for completion of data collection.
16. Will publish ‘Withdrawn Registrations’: Whether the journal will publish a withdrawn registration (including at a minimum the study title, brief study information, and reason for withdrawal) if authors voluntarily remove their study from consideration following the award of provisional acceptance. (Note: does not apply to editorial rejections).
17. Publishes accepted protocols, in full or part, prior to study completion: Whether the journal publishes any part of the pre-study protocol prior to acceptance of the final manuscript that describes the completed study. This could include anything from the title alone to the full study protocol, and could be on-line only or in its journal pages.
18. Offers incremental (sequential) registration: Whether the journal gives authors the option of proposing and pre-registering follow-up studies following final acceptance of a completed study, rather than publishing immediately.
19. Offers incremental addition of unregistered studies: Whether the journal gives authors the option of reporting additional unregistered (exploratory) studies following reporting of the approved pre-registered research.
20. Offered for qualitative studies.
21. Requires deposition of the Stage 1 protocol at the point of IPA in a recognised public registry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
